epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4024,1.09552,4.65968,1.40445,0.02711,0.78305,0.10669,0.08448,0.8015,3.3897,1.18775,7.18129e-05,7.18129e-05,7.18129e-05
2,90.1359,0.95076,3.76767,1.28826,0.30457,0.34671,0.26543,0.20922,0.80081,2.50203,1.21517,0.000141292,0.000141292,0.000141292
3,133.592,0.95769,3.30788,1.28692,0.38053,0.50463,0.44038,0.34245,0.77969,2.23606,1.19366,0.000207907,0.000207907,0.000207907
4,176.207,0.92094,2.91027,1.25402,0.54213,0.56345,0.60603,0.48344,0.76321,1.72893,1.16593,0.00020411,0.00020411,0.00020411
5,218.446,0.90143,2.61914,1.23235,0.63711,0.5627,0.68767,0.55282,0.73773,1.60669,1.16039,0.000199814,0.000199814,0.000199814
6,261.031,0.8874,2.39516,1.21723,0.59695,0.72573,0.73752,0.58967,0.75323,1.47249,1.15852,0.000195517,0.000195517,0.000195517
7,303.333,0.8593,2.23054,1.19454,0.67787,0.78856,0.82038,0.66616,0.72622,1.24837,1.13815,0.00019122,0.00019122,0.00019122
8,345.792,0.8294,2.02827,1.17321,0.68204,0.79084,0.85322,0.69995,0.70218,1.15538,1.1102,0.000186924,0.000186924,0.000186924
9,389.08,0.83396,1.9199,1.16067,0.79291,0.80398,0.87922,0.72169,0.70929,1.00985,1.10989,0.000182627,0.000182627,0.000182627
10,431.943,0.8068,1.81072,1.14431,0.85632,0.82239,0.91566,0.74497,0.71353,0.89153,1.09493,0.000178331,0.000178331,0.000178331
11,474.368,0.79669,1.70492,1.14823,0.8176,0.87614,0.92713,0.76958,0.68493,0.8779,1.09268,0.000174034,0.000174034,0.000174034
12,515.891,0.78706,1.62325,1.1329,0.86534,0.84472,0.93122,0.77633,0.67678,0.83146,1.07815,0.000169737,0.000169737,0.000169737
13,557.887,0.79832,1.61462,1.13628,0.87038,0.87688,0.94499,0.78252,0.69714,0.78624,1.08918,0.000165441,0.000165441,0.000165441
14,599.746,0.78898,1.52461,1.13682,0.91017,0.85832,0.959,0.79978,0.66488,0.73396,1.0537,0.000161144,0.000161144,0.000161144
15,642.12,0.77527,1.45557,1.12593,0.91244,0.87004,0.95744,0.79617,0.66406,0.70772,1.0662,0.000156848,0.000156848,0.000156848
16,684.543,0.74893,1.38101,1.10995,0.90839,0.89452,0.95629,0.80556,0.64804,0.69288,1.03809,0.000152551,0.000152551,0.000152551
17,726.473,0.75772,1.3678,1.11273,0.92955,0.90159,0.96589,0.8144,0.65555,0.6695,1.04848,0.000148254,0.000148254,0.000148254
18,768.324,0.75038,1.31713,1.10023,0.91665,0.91467,0.97413,0.81713,0.6513,0.61044,1.03105,0.000143958,0.000143958,0.000143958
19,810.017,0.74802,1.27422,1.09898,0.90543,0.95053,0.9758,0.81773,0.65478,0.59611,1.04187,0.000139661,0.000139661,0.000139661
20,852.095,0.74891,1.2255,1.09638,0.92725,0.91555,0.96779,0.81244,0.65412,0.60017,1.03599,0.000135365,0.000135365,0.000135365
21,894.161,0.73317,1.19421,1.08982,0.92937,0.93625,0.97953,0.82863,0.63556,0.57391,1.0206,0.000131068,0.000131068,0.000131068
22,936.402,0.73054,1.15585,1.08642,0.92508,0.92961,0.97381,0.82514,0.63659,0.57256,1.02365,0.000126771,0.000126771,0.000126771
23,979.116,0.72075,1.12961,1.07346,0.96456,0.94279,0.98395,0.82931,0.64745,0.5205,1.03985,0.000122475,0.000122475,0.000122475
24,1021.39,0.71935,1.11883,1.08121,0.95072,0.95665,0.98788,0.83837,0.6391,0.51772,1.0279,0.000118178,0.000118178,0.000118178
25,1063.05,0.70786,1.10121,1.0848,0.95641,0.95777,0.98466,0.83247,0.63531,0.50148,1.02256,0.000113882,0.000113882,0.000113882
26,1104.57,0.70288,1.05499,1.06543,0.95539,0.93946,0.98446,0.8358,0.63833,0.52035,1.0249,0.000109585,0.000109585,0.000109585
27,1145.77,0.70129,1.05371,1.07087,0.95861,0.94555,0.98539,0.83641,0.63418,0.50811,1.02073,0.000105288,0.000105288,0.000105288
28,1187.4,0.70878,1.04517,1.0659,0.97526,0.9565,0.9882,0.83529,0.63871,0.47685,1.02429,0.000100992,0.000100992,0.000100992
29,1230.11,0.69173,1.02461,1.06449,0.96039,0.9523,0.98872,0.83688,0.63332,0.48995,1.01774,9.66952e-05,9.66952e-05,9.66952e-05
30,1272.97,0.69309,0.99617,1.05655,0.96351,0.95278,0.98718,0.84,0.63478,0.47377,1.0231,9.23986e-05,9.23986e-05,9.23986e-05
31,1315.08,0.67438,0.95523,1.05075,0.97597,0.94796,0.98976,0.8405,0.6243,0.46024,1.01559,8.8102e-05,8.8102e-05,8.8102e-05
